DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200113441,06/15/2020 12:00:00 AM,05/30/2020 12:00:00 AM,2148,1,Central,163,1,310,BURGLARY,0329 0344 2018 1607 0321 1822,37,M,W,418,,,,IC,Invest Cont,310,,,,700 S  BROADWAY,,"340,452","-1,182,534"
200816618,11/19/2020 12:00:00 AM,11/18/2020 12:00:00 AM,1830,8,West LA,841,1,310,BURGLARY,0216 0321 1420 1402 0344 1822,0,X,X,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,310,,,,12400    WILSHIRE                     BL,,"34,042","-1,184,701"
200717086,12/13/2020 12:00:00 AM,10/09/2020 12:00:00 AM,1220,7,Wilshire,782,1,310,BURGLARY,1607 1822 0344,33,F,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,5900    BURCHARD                     AV,,"340,365","-1,183,734"
200510749,06/18/2020 12:00:00 AM,06/13/2020 12:00:00 AM,1,5,Harbor,514,1,310,BURGLARY,1602 0344,56,M,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,1200 W  PACIFIC COAST HY,,"337,904","-1,182,777"
200814255,09/18/2020 12:00:00 AM,09/18/2020 12:00:00 AM,1500,8,West LA,835,1,310,BURGLARY,0344 2021 1309 1822,52,F,O,702,OFFICE BUILDING/OFFICE,,,AA,Adult Arrest,310,,,,11000    SANTA MONICA                 BL,,"340,481","-1,184,422"
201011081,07/17/2020 12:00:00 AM,07/17/2020 12:00:00 AM,1410,10,West Valley,1067,1,310,BURGLARY,1606 2004 0340 0314 0359 1822 0910 1318 2051 1402,22,F,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,998,,,5000    ENCINO                       AV,,"341,615","-1,185,142"
200409884,06/17/2020 12:00:00 AM,06/10/2020 12:00:00 AM,1400,4,Hollenbeck,449,1,310,BURGLARY,344,41,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,2600    DOBINSON                     ST,,"340,514","-1,182,001"
200312792,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1720,3,Southwest,317,1,310,BURGLARY,1822 0344 1607,37,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1400 W  24TH                         ST,,"340,346","-1,182,915"
200510789,06/19/2020 12:00:00 AM,06/17/2020 12:00:00 AM,2100,5,Harbor,532,1,310,BURGLARY,1601 0344,29,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,1000    BAY VIEW                     AV,,"337,866","-1,182,717"
200713135,08/24/2020 12:00:00 AM,08/22/2020 12:00:00 AM,1500,7,Wilshire,711,1,310,BURGLARY,0344 0358,35,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,300 N  LA CIENEGA                   BL,,"340,761","-1,183,766"
